category,study,path,status,relationship_to_final,caution
model development,Historical full-week baseline,01_model_development/method_experiments/historical_reference_cluster_clean_version_fullweek,superseded,Reference point for later Rail and Bus corrections,Uses historical units features and cluster solutions
model development,Adopted Bus diagnostics snapshot,01_model_development/adopted_bus_diagnostics_snapshot,completed_supporting_record,Preserves the fuller K seed bootstrap map and profile outputs behind the adopted Bus workflow,Check each file's sample count because the directory spans the final refit transition
model development,Bus activity-tiered reliable core,01_model_development/method_experiments/rq1_bus_activity_tiered_reclustering,completed_not_adopted,Diagnosed low-activity compositional noise,Provisional fit settings and downstream context were not finalised
model development,Bus day-type normalisation,01_model_development/method_experiments/rq1_bus_daytype_normalisation,mixed_completed_and_not_run,Compared closure and smoothing variants,Contains an explicitly unexecuted B5 stage and non-final samples
model development,Bus alpha grid,01_model_development/method_experiments/rq1_bus_hub_first_alpha_grid_screen,completed_not_adopted,Tested smoothing sensitivity,Does not repair spatial units or add activity scale
model development,Bus hub-first isolated test,01_model_development/method_experiments/rq1_bus_hub_first_isolated_test,completed_not_adopted,Separated spatial reorganisation from clustering,Uses the superseded hub-first analytical unit
model development,Bus hub-first reclustering,01_model_development/method_experiments/rq1_bus_hub_first_reclustering,completed_provisional,Tested the reconstructed unit and stability,Not the adopted StopArea-to-LSOA pipeline
model development,Bus reliable-core threshold screen,01_model_development/method_experiments/rq1_bus_hub_first_reliable_core_assignment,completed_superseded,Informed the minimum-direction evidence rule,Contains superseded gates and alternative thresholds
model development,Bus ILR coordinate validation,01_model_development/method_experiments/rq1_bus_ilr_transform,completed_validation,Confirmed ILR and CLR partition equivalence for the tested sample,Does not independently validate the substantive K choice
model development,Rail normalisation and padding tests,01_model_development/method_experiments/rq1_rail_method_tests,completed_sensitivity,Informed retention of full-week closure and rejection of padding,Contains a documented stale substructure branch
model development,Earlier RQ2 test workspace,01_model_development/method_experiments/rq2test analysis,superseded,Records earlier LNWC IMD direct-metric and radius work,Do not combine its 1200 m and 800 m results with the final context layer
formal sensitivity,Bus 05 cutoff sensitivity,01_model_development/formal_sensitivity_checks/rq1_bus_05cutoff_sensitivity,planned_or_partial,Preserves code for an alternative cutoff,No completed result report was found
formal sensitivity,Bus geography and covariance diagnostics,01_model_development/formal_sensitivity_checks/rq1_bus_geography_diagnostic,completed_diagnostic,Separated spatial aggregation reliability activity confounding and covariance choice,Diagnostic results do not define the final clusters
formal sensitivity,Bus K-selection check,01_model_development/formal_sensitivity_checks/rq1_bus_k_selection_check,completed_sensitivity,Compared seeds K4 alternatives and K5 survival,Not a replacement clustering solution
formal sensitivity,Rail scope K and stability battery,01_model_development/rail_scope_and_stability,mixed_historical_and_final_support,Contains all-modes scope comparisons BIC seed and bootstrap stability,Several archived runs predate the final 403-station correction
context alternative,Facility diversity,02_context_alternatives/facility_diversity,completed_not_used,Explored POI diversity and intensity as external context,Not part of the final LNWC plus 20-variable Results structure
context development,LNWC radius development,02_context_alternatives/lnwc_radius_development,mixed_development_and_sensitivity,Preserves the 1200 m to adopted 800 m analysis path,Only the final 800 m specification belongs to the main results; never pool radius versions
context development,Independent-variable workspace,02_context_alternatives/independent_variable_development,completed_supporting_record,Preserves correlation diagnostics and fuller development outputs for the 20-variable layer,The compact final evidence remains under results/tables
context alternative,LOAC,02_context_alternatives/loac,completed_not_used,Explored an alternative area classification,Area-level association only and not a final dissertation result
context alternative,Spatial Signatures,02_context_alternatives/spatial_signatures,completed_not_used,Explored external urban-form and function classifications,Uses a separate 2020 typology and historical coverage definition
deferred question,RQ3 mobility-use mismatch,03_deferred_rq3_mismatch,deferred_with_stale_outputs,Records the planned and then dropped RQ3,Outputs predate a config correction and must not be cited without rerunning
cross-mode exploration,Bus-Rail spatial relation,04_exploratory_bus_rail_relation,completed_exploratory,Tests proximity and spatial co-occurrence using the final-scale 3383 Bus and 403 Rail samples,Not in the submitted Results and does not establish interchange or causality
